Hidden Layers,HiddenL1 Units,HiddenL2 Units,Epochs,Alpha,Eta,Train ratio,Test ratio,Mean Squared Error (MSE)
1,20,,500,2,0.100,0.7,0.3,0.15324
1,30,,500,2,0.100,0.7,0.3,0.16270
1,40,,500,2,0.100,0.7,0.3,0.16878
1,20,,500,2,0.100,0.8,0.2,0.14425
1,30,,500,2,0.100,0.8,0.2,0.16822
1,40,,500,2,0.100,0.8,0.2,0.21994
1,20,,500,2,0.100,0.9,0.1,0.13836
1,30,,500,2,0.100,0.9,0.1,0.16863
1,40,,500,2,0.100,0.9,0.1,0.15692
1,20,,500,2,0.010,0.7,0.3,0.08484
1,30,,500,2,0.010,0.7,0.3,0.08504
1,40,,500,2,0.010,0.7,0.3,0.09475
1,20,,500,2,0.010,0.8,0.2,0.07941
1,30,,500,2,0.010,0.8,0.2,0.08625
1,40,,500,2,0.010,0.8,0.2,0.08383
1,20,,500,2,0.010,0.9,0.1,0.07846
1,30,,500,2,0.010,0.9,0.1,0.08002
1,40,,500,2,0.010,0.9,0.1,0.08259
1,20,,500,2,0.001,0.7,0.3,0.07491
1,30,,500,2,0.001,0.7,0.3,0.07082
1,40,,500,2,0.001,0.7,0.3,0.07343
1,20,,500,2,0.001,0.8,0.2,0.08129
1,30,,500,2,0.001,0.8,0.2,0.07238
1,40,,500,2,0.001,0.8,0.2,0.07567
1,20,,500,2,0.001,0.9,0.1,0.07010
1,30,,500,2,0.001,0.9,0.1,0.06803
1,40,,500,2,0.001,0.9,0.1,0.06896
1,20,,500,5,0.100,0.7,0.3,0.14541
1,30,,500,5,0.100,0.7,0.3,0.17433
1,40,,500,5,0.100,0.7,0.3,0.17547
1,20,,500,5,0.100,0.8,0.2,0.14349
1,30,,500,5,0.100,0.8,0.2,0.19981
1,40,,500,5,0.100,0.8,0.2,0.17012
1,20,,500,5,0.100,0.9,0.1,0.12571
1,30,,500,5,0.100,0.9,0.1,0.13307
1,40,,500,5,0.100,0.9,0.1,0.17943
1,20,,500,5,0.010,0.7,0.3,0.08168
1,30,,500,5,0.010,0.7,0.3,0.09129
1,40,,500,5,0.010,0.7,0.3,0.10303
1,20,,500,5,0.010,0.8,0.2,0.08416
1,30,,500,5,0.010,0.8,0.2,0.08816
1,40,,500,5,0.010,0.8,0.2,0.10337
1,20,,500,5,0.010,0.9,0.1,0.07622
1,30,,500,5,0.010,0.9,0.1,0.08192
1,40,,500,5,0.010,0.9,0.1,0.07003
1,20,,500,5,0.001,0.7,0.3,0.07571
1,30,,500,5,0.001,0.7,0.3,0.07430
1,40,,500,5,0.001,0.7,0.3,0.07745
1,20,,500,5,0.001,0.8,0.2,0.07537
1,30,,500,5,0.001,0.8,0.2,0.07391
1,40,,500,5,0.001,0.8,0.2,0.07501
1,20,,500,5,0.001,0.9,0.1,0.07148
1,30,,500,5,0.001,0.9,0.1,0.07153
1,40,,500,5,0.001,0.9,0.1,0.06908
1,20,,1000,1,0.100,0.7,0.3,0.16765
1,30,,1000,1,0.100,0.7,0.3,0.17610
1,40,,1000,1,0.100,0.7,0.3,0.17840
1,20,,1000,1,0.100,0.8,0.2,0.16277
1,30,,1000,1,0.100,0.8,0.2,0.17652
1,40,,1000,1,0.100,0.8,0.2,0.18695
1,20,,1000,1,0.100,0.9,0.1,0.12008
1,30,,1000,1,0.100,0.9,0.1,0.17145
1,40,,1000,1,0.100,0.9,0.1,0.15521
1,20,,1000,1,0.010,0.7,0.3,0.09796
1,30,,1000,1,0.010,0.7,0.3,0.11202
1,40,,1000,1,0.010,0.7,0.3,0.14609
1,20,,1000,1,0.010,0.8,0.2,0.09339
1,30,,1000,1,0.010,0.8,0.2,0.10632
1,40,,1000,1,0.010,0.8,0.2,0.11822
1,20,,1000,1,0.010,0.9,0.1,0.07758
1,30,,1000,1,0.010,0.9,0.1,0.10838
1,40,,1000,1,0.010,0.9,0.1,0.12088
1,20,,1000,1,0.001,0.7,0.3,0.07311
1,30,,1000,1,0.001,0.7,0.3,0.07633
1,40,,1000,1,0.001,0.7,0.3,0.07608
1,20,,1000,1,0.001,0.8,0.2,0.07350
1,30,,1000,1,0.001,0.8,0.2,0.07339
1,40,,1000,1,0.001,0.8,0.2,0.07958
1,20,,1000,1,0.001,0.9,0.1,0.07280
1,30,,1000,1,0.001,0.9,0.1,0.06636
1,40,,1000,1,0.001,0.9,0.1,0.06808
1,20,,1000,2,0.100,0.7,0.3,0.14263
1,30,,1000,2,0.100,0.7,0.3,0.20254
1,40,,1000,2,0.100,0.7,0.3,0.16755
1,20,,1000,2,0.100,0.8,0.2,0.15689
1,30,,1000,2,0.100,0.8,0.2,0.18941
1,40,,1000,2,0.100,0.8,0.2,0.18034
1,20,,1000,2,0.100,0.9,0.1,0.14830
1,30,,1000,2,0.100,0.9,0.1,0.13869
1,40,,1000,2,0.100,0.9,0.1,0.17590
1,20,,1000,2,0.010,0.7,0.3,0.09417
1,30,,1000,2,0.010,0.7,0.3,0.10235
1,40,,1000,2,0.010,0.7,0.3,0.13240
1,20,,1000,2,0.010,0.8,0.2,0.09447
1,30,,1000,2,0.010,0.8,0.2,0.11464
1,40,,1000,2,0.010,0.8,0.2,0.13468
1,20,,1000,2,0.010,0.9,0.1,0.08447
1,30,,1000,2,0.010,0.9,0.1,0.10957
1,40,,1000,2,0.010,0.9,0.1,0.09642
1,20,,1000,2,0.001,0.7,0.3,0.07152
1,30,,1000,2,0.001,0.7,0.3,0.07707
1,40,,1000,2,0.001,0.7,0.3,0.07403
1,20,,1000,2,0.001,0.8,0.2,0.07341
1,30,,1000,2,0.001,0.8,0.2,0.06961
1,40,,1000,2,0.001,0.8,0.2,0.07205
1,20,,1000,2,0.001,0.9,0.1,0.06467
1,30,,1000,2,0.001,0.9,0.1,0.06970
1,40,,1000,2,0.001,0.9,0.1,0.07152
1,20,,1000,5,0.100,0.7,0.3,0.14962
1,30,,1000,5,0.100,0.7,0.3,0.20353
1,40,,1000,5,0.100,0.7,0.3,0.18466
1,20,,1000,5,0.100,0.8,0.2,0.17185
1,30,,1000,5,0.100,0.8,0.2,0.17706
1,40,,1000,5,0.100,0.8,0.2,0.16732
1,20,,1000,5,0.100,0.9,0.1,0.11684
1,30,,1000,5,0.100,0.9,0.1,0.18167
1,40,,1000,5,0.100,0.9,0.1,0.18627
1,20,,1000,5,0.010,0.7,0.3,0.09353
1,30,,1000,5,0.010,0.7,0.3,0.12173
1,40,,1000,5,0.010,0.7,0.3,0.14556
1,20,,1000,5,0.010,0.8,0.2,0.10093
1,30,,1000,5,0.010,0.8,0.2,0.10944
1,40,,1000,5,0.010,0.8,0.2,0.11858
1,20,,1000,5,0.010,0.9,0.1,0.10186
1,30,,1000,5,0.010,0.9,0.1,0.10171
1,40,,1000,5,0.010,0.9,0.1,0.11974
1,20,,1000,5,0.001,0.7,0.3,0.07567
1,30,,1000,5,0.001,0.7,0.3,0.07320
1,40,,1000,5,0.001,0.7,0.3,0.07706
1,20,,1000,5,0.001,0.8,0.2,0.07595
1,30,,1000,5,0.001,0.8,0.2,0.07778
1,40,,1000,5,0.001,0.8,0.2,0.07378
1,20,,1000,5,0.001,0.9,0.1,0.07667
1,30,,1000,5,0.001,0.9,0.1,0.06355
1,40,,1000,5,0.001,0.9,0.1,0.06984
2,20,1,200,1,0.100,0.7,0.3,0.12953
2,20,3,200,1,0.100,0.7,0.3,0.14291
2,30,4,200,1,0.100,0.7,0.3,0.13190
2,20,1,200,1,0.100,0.8,0.2,0.12130
2,20,3,200,1,0.100,0.8,0.2,0.13417
2,30,4,200,1,0.100,0.8,0.2,0.14654
2,20,1,200,1,0.100,0.9,0.1,0.11306
2,20,3,200,1,0.100,0.9,0.1,0.13692
2,30,4,200,1,0.100,0.9,0.1,0.14184
2,20,1,200,1,0.010,0.7,0.3,0.07247
2,20,3,200,1,0.010,0.7,0.3,0.07463
2,30,4,200,1,0.010,0.7,0.3,0.09225
2,20,1,200,1,0.010,0.8,0.2,0.07924
2,20,3,200,1,0.010,0.8,0.2,0.08874
2,30,4,200,1,0.010,0.8,0.2,0.08398
2,20,1,200,1,0.010,0.9,0.1,0.07197
2,20,3,200,1,0.010,0.9,0.1,0.09244
2,30,4,200,1,0.010,0.9,0.1,0.08363
2,20,1,200,1,0.001,0.7,0.3,0.08102
2,20,3,200,1,0.001,0.7,0.3,0.08402
2,30,4,200,1,0.001,0.7,0.3,0.08185
2,20,1,200,1,0.001,0.8,0.2,0.08420
2,20,3,200,1,0.001,0.8,0.2,0.07786
2,30,4,200,1,0.001,0.8,0.2,0.08149
2,20,1,200,1,0.001,0.9,0.1,0.07717
2,20,3,200,1,0.001,0.9,0.1,0.06807
2,30,4,200,1,0.001,0.9,0.1,0.08116
2,20,1,200,2,0.100,0.7,0.3,0.12971
2,20,3,200,2,0.100,0.7,0.3,0.13514
2,30,4,200,2,0.100,0.7,0.3,0.14106
2,20,1,200,2,0.100,0.8,0.2,0.11411
2,20,3,200,2,0.100,0.8,0.2,0.12459
2,30,4,200,2,0.100,0.8,0.2,0.14047
2,20,1,200,2,0.100,0.9,0.1,0.10337
2,20,3,200,2,0.100,0.9,0.1,0.12955
2,30,4,200,2,0.100,0.9,0.1,0.13006
2,20,1,200,2,0.010,0.7,0.3,0.07699
2,20,3,200,2,0.010,0.7,0.3,0.06812
2,30,4,200,2,0.010,0.7,0.3,0.09605
2,20,1,200,2,0.010,0.8,0.2,0.06817
2,20,3,200,2,0.010,0.8,0.2,0.07496
2,30,4,200,2,0.010,0.8,0.2,0.08807
2,20,1,200,2,0.010,0.9,0.1,0.07321
2,20,3,200,2,0.010,0.9,0.1,0.07954
2,30,4,200,2,0.010,0.9,0.1,0.10153
2,20,1,200,2,0.001,0.7,0.3,0.08265
2,20,3,200,2,0.001,0.7,0.3,0.07953
2,30,4,200,2,0.001,0.7,0.3,0.07721
2,20,1,200,2,0.001,0.8,0.2,0.08275
2,20,3,200,2,0.001,0.8,0.2,0.08140
2,30,4,200,2,0.001,0.8,0.2,0.07557
2,20,1,200,2,0.001,0.9,0.1,0.07597
2,20,3,200,2,0.001,0.9,0.1,0.07105
2,30,4,200,2,0.001,0.9,0.1,0.07405
2,20,1,200,5,0.100,0.7,0.3,0.13431
2,20,3,200,5,0.100,0.7,0.3,0.13672
2,30,4,200,5,0.100,0.7,0.3,0.13420
2,20,1,200,5,0.100,0.8,0.2,0.12074
2,20,3,200,5,0.100,0.8,0.2,0.14466
2,30,4,200,5,0.100,0.8,0.2,0.15191
2,20,1,200,5,0.100,0.9,0.1,0.12514
2,20,3,200,5,0.100,0.9,0.1,0.12398
2,30,4,200,5,0.100,0.9,0.1,0.12028
2,20,1,200,5,0.010,0.7,0.3,0.07561
2,20,3,200,5,0.010,0.7,0.3,0.07827
2,30,4,200,5,0.010,0.7,0.3,0.08668
2,20,1,200,5,0.010,0.8,0.2,0.07257
2,20,3,200,5,0.010,0.8,0.2,0.08761
2,30,4,200,5,0.010,0.8,0.2,0.08565
2,20,1,200,5,0.010,0.9,0.1,0.07881
2,20,3,200,5,0.010,0.9,0.1,0.07448
2,30,4,200,5,0.010,0.9,0.1,0.08270
2,20,1,200,5,0.001,0.7,0.3,0.08140
2,20,3,200,5,0.001,0.7,0.3,0.08460
2,30,4,200,5,0.001,0.7,0.3,0.07991
2,20,1,200,5,0.001,0.8,0.2,0.08135
2,20,3,200,5,0.001,0.8,0.2,0.07285
2,30,4,200,5,0.001,0.8,0.2,0.07650
2,20,1,200,5,0.001,0.9,0.1,0.07877
2,20,3,200,5,0.001,0.9,0.1,0.07209
2,30,4,200,5,0.001,0.9,0.1,0.07315
2,20,1,500,1,0.100,0.7,0.3,0.17126
2,20,3,500,1,0.100,0.7,0.3,0.16692
2,30,4,500,1,0.100,0.7,0.3,0.15556
2,20,1,500,1,0.100,0.8,0.2,0.14914
2,20,3,500,1,0.100,0.8,0.2,0.15350
2,30,4,500,1,0.100,0.8,0.2,0.17003
2,20,1,500,1,0.100,0.9,0.1,0.16190
2,20,3,500,1,0.100,0.9,0.1,0.13392
2,30,4,500,1,0.100,0.9,0.1,0.12705
2,20,1,500,1,0.010,0.7,0.3,0.08601
2,20,3,500,1,0.010,0.7,0.3,0.10180
2,30,4,500,1,0.010,0.7,0.3,0.10863
2,20,1,500,1,0.010,0.8,0.2,0.08172
2,20,3,500,1,0.010,0.8,0.2,0.08540
2,30,4,500,1,0.010,0.8,0.2,0.11591
2,20,1,500,1,0.010,0.9,0.1,0.06944
2,20,3,500,1,0.010,0.9,0.1,0.10005
2,30,4,500,1,0.010,0.9,0.1,0.10848
2,20,1,500,1,0.001,0.7,0.3,0.07492
2,20,3,500,1,0.001,0.7,0.3,0.07758
2,30,4,500,1,0.001,0.7,0.3,0.07925
2,20,1,500,1,0.001,0.8,0.2,0.07239
2,20,3,500,1,0.001,0.8,0.2,0.07918
2,30,4,500,1,0.001,0.8,0.2,0.08098
2,20,1,500,1,0.001,0.9,0.1,0.07377
2,20,3,500,1,0.001,0.9,0.1,0.07478
2,30,4,500,1,0.001,0.9,0.1,0.07053
2,20,1,500,2,0.100,0.7,0.3,0.17218
2,20,3,500,2,0.100,0.7,0.3,0.16177
2,30,4,500,2,0.100,0.7,0.3,0.15278
2,20,1,500,2,0.100,0.8,0.2,0.13734
2,20,3,500,2,0.100,0.8,0.2,0.15477
2,30,4,500,2,0.100,0.8,0.2,0.16593
2,20,1,500,2,0.100,0.9,0.1,0.13969
2,20,3,500,2,0.100,0.9,0.1,0.15916
2,30,4,500,2,0.100,0.9,0.1,0.11941
2,20,1,500,2,0.010,0.7,0.3,0.08178
2,20,3,500,2,0.010,0.7,0.3,0.08769
2,30,4,500,2,0.010,0.7,0.3,0.10706
2,20,1,500,2,0.010,0.8,0.2,0.08715
2,20,3,500,2,0.010,0.8,0.2,0.08674
2,30,4,500,2,0.010,0.8,0.2,0.12390
2,20,1,500,2,0.010,0.9,0.1,0.07899
2,20,3,500,2,0.010,0.9,0.1,0.09736
2,30,4,500,2,0.010,0.9,0.1,0.10291
2,20,1,500,2,0.001,0.7,0.3,0.07995
2,20,3,500,2,0.001,0.7,0.3,0.07903
2,30,4,500,2,0.001,0.7,0.3,0.07650
2,20,1,500,2,0.001,0.8,0.2,0.08036
2,20,3,500,2,0.001,0.8,0.2,0.07015
2,30,4,500,2,0.001,0.8,0.2,0.07543
2,20,1,500,2,0.001,0.9,0.1,0.07603
2,20,3,500,2,0.001,0.9,0.1,0.07082
2,30,4,500,2,0.001,0.9,0.1,0.06241
2,20,1,500,5,0.100,0.7,0.3,0.14359
2,20,3,500,5,0.100,0.7,0.3,0.15864
2,30,4,500,5,0.100,0.7,0.3,0.15079
2,20,1,500,5,0.100,0.8,0.2,0.14556
2,20,3,500,5,0.100,0.8,0.2,0.14794
2,30,4,500,5,0.100,0.8,0.2,0.14151
2,20,1,500,5,0.100,0.9,0.1,0.13671
2,20,3,500,5,0.100,0.9,0.1,0.15869
2,30,4,500,5,0.100,0.9,0.1,0.17589
2,20,1,500,5,0.010,0.7,0.3,0.08770
2,20,3,500,5,0.010,0.7,0.3,0.09327
2,30,4,500,5,0.010,0.7,0.3,0.11054
2,20,1,500,5,0.010,0.8,0.2,0.08832
2,20,3,500,5,0.010,0.8,0.2,0.10861
2,30,4,500,5,0.010,0.8,0.2,0.12780
2,20,1,500,5,0.010,0.9,0.1,0.08534
2,20,3,500,5,0.010,0.9,0.1,0.09581
2,30,4,500,5,0.010,0.9,0.1,0.10974
2,20,1,500,5,0.001,0.7,0.3,0.07641
2,20,3,500,5,0.001,0.7,0.3,0.07784
2,30,4,500,5,0.001,0.7,0.3,0.07317
2,20,1,500,5,0.001,0.8,0.2,0.07861
2,20,3,500,5,0.001,0.8,0.2,0.08135
2,30,4,500,5,0.001,0.8,0.2,0.07866
2,20,1,500,5,0.001,0.9,0.1,0.07525
2,20,3,500,5,0.001,0.9,0.1,0.07357
2,30,4,500,5,0.001,0.9,0.1,0.07619
2,20,1,1000,1,0.100,0.7,0.3,0.15837
2,20,3,1000,1,0.100,0.7,0.3,0.18145
2,30,4,1000,1,0.100,0.7,0.3,0.16402
2,20,1,1000,1,0.100,0.8,0.2,0.14972
2,20,3,1000,1,0.100,0.8,0.2,0.17448
2,30,4,1000,1,0.100,0.8,0.2,0.16154
2,20,1,1000,1,0.100,0.9,0.1,0.14145
2,20,3,1000,1,0.100,0.9,0.1,0.16807
2,30,4,1000,1,0.100,0.9,0.1,0.17933
2,20,1,1000,1,0.010,0.7,0.3,0.10110
2,20,3,1000,1,0.010,0.7,0.3,0.13231
2,30,4,1000,1,0.010,0.7,0.3,0.13980
2,20,1,1000,1,0.010,0.8,0.2,0.11414
2,20,3,1000,1,0.010,0.8,0.2,0.13008
2,30,4,1000,1,0.010,0.8,0.2,0.12012
2,20,1,1000,1,0.010,0.9,0.1,0.11908
2,20,3,1000,1,0.010,0.9,0.1,0.11476
2,30,4,1000,1,0.010,0.9,0.1,0.11115
2,20,1,1000,1,0.001,0.7,0.3,0.07365
2,20,3,1000,1,0.001,0.7,0.3,0.07555
2,30,4,1000,1,0.001,0.7,0.3,0.08175
2,20,1,1000,1,0.001,0.8,0.2,0.07579
2,20,3,1000,1,0.001,0.8,0.2,0.07755
2,30,4,1000,1,0.001,0.8,0.2,0.07747
2,20,1,1000,1,0.001,0.9,0.1,0.07380
2,20,3,1000,1,0.001,0.9,0.1,0.07010
2,30,4,1000,1,0.001,0.9,0.1,0.08354
2,20,1,1000,2,0.100,0.7,0.3,0.17708
2,20,3,1000,2,0.100,0.7,0.3,0.16256
2,30,4,1000,2,0.100,0.7,0.3,0.18783
2,20,1,1000,2,0.100,0.8,0.2,0.15816
2,20,3,1000,2,0.100,0.8,0.2,0.17729
2,30,4,1000,2,0.100,0.8,0.2,0.15442
2,20,1,1000,2,0.100,0.9,0.1,0.14927
2,20,3,1000,2,0.100,0.9,0.1,0.18416
2,30,4,1000,2,0.100,0.9,0.1,0.17275
2,20,1,1000,2,0.010,0.7,0.3,0.11440
2,20,3,1000,2,0.010,0.7,0.3,0.11207
2,30,4,1000,2,0.010,0.7,0.3,0.12710
2,20,1,1000,2,0.010,0.8,0.2,0.09381
2,20,3,1000,2,0.010,0.8,0.2,0.12055
2,30,4,1000,2,0.010,0.8,0.2,0.14827
2,20,1,1000,2,0.010,0.9,0.1,0.09922
2,20,3,1000,2,0.010,0.9,0.1,0.10691
2,30,4,1000,2,0.010,0.9,0.1,0.10568
2,20,1,1000,2,0.001,0.7,0.3,0.07739
2,20,3,1000,2,0.001,0.7,0.3,0.07544
2,30,4,1000,2,0.001,0.7,0.3,0.07993
2,20,1,1000,2,0.001,0.8,0.2,0.07736
2,20,3,1000,2,0.001,0.8,0.2,0.07769
2,30,4,1000,2,0.001,0.8,0.2,0.07734
2,20,1,1000,2,0.001,0.9,0.1,0.06933
2,20,3,1000,2,0.001,0.9,0.1,0.07779
2,30,4,1000,2,0.001,0.9,0.1,0.06943
2,20,1,1000,5,0.100,0.7,0.3,0.18070
2,20,3,1000,5,0.100,0.7,0.3,0.17592
2,30,4,1000,5,0.100,0.7,0.3,0.17648
2,20,1,1000,5,0.100,0.8,0.2,0.13900
2,20,3,1000,5,0.100,0.8,0.2,0.16104
2,30,4,1000,5,0.100,0.8,0.2,0.15898
2,20,1,1000,5,0.100,0.9,0.1,0.15069
2,20,3,1000,5,0.100,0.9,0.1,0.18911
2,30,4,1000,5,0.100,0.9,0.1,0.15628
2,20,1,1000,5,0.010,0.7,0.3,0.09459
2,20,3,1000,5,0.010,0.7,0.3,0.10753
2,30,4,1000,5,0.010,0.7,0.3,0.13434
2,20,1,1000,5,0.010,0.8,0.2,0.09271
2,20,3,1000,5,0.010,0.8,0.2,0.11034
2,30,4,1000,5,0.010,0.8,0.2,0.13241
2,20,1,1000,5,0.010,0.9,0.1,0.08939
2,20,3,1000,5,0.010,0.9,0.1,0.12896
2,30,4,1000,5,0.010,0.9,0.1,0.12308
2,20,1,1000,5,0.001,0.7,0.3,0.08126
2,20,3,1000,5,0.001,0.7,0.3,0.07889
2,30,4,1000,5,0.001,0.7,0.3,0.08229
2,20,1,1000,5,0.001,0.8,0.2,0.07661
2,20,3,1000,5,0.001,0.8,0.2,0.08068
2,30,4,1000,5,0.001,0.8,0.2,0.08840
2,20,1,1000,5,0.001,0.9,0.1,0.07062
2,20,3,1000,5,0.001,0.9,0.1,0.07401
2,30,4,1000,5,0.001,0.9,0.1,0.07691
